2545,1,289,391,77,63,0.8299728631973267,2.0,-1,-1,-1
4737,2,444,259,29,29,0.6577383279800415,2.0,-1,-1,-1
4881,2,434,270,30,30,0.3456372022628784,2.0,-1,-1,-1
7073,3,362,352,54,44,0.6072283387184143,2.0,-1,-1,-1
10321,4,304,387,69,53,0.6381022334098816,2.0,-1,-1,-1
10337,4,387,325,40,31,0.5281132459640503,2.0,-1,-1,-1
12337,4,335,328,37,28,0.5145153403282166,2.0,-1,-1,-1
12593,5,359,308,41,35,0.6723409295082092,2.0,-1,-1,-1
12609,5,228,374,66,56,0.6766365766525269,2.0,-1,-1,-1
14801,6,349,308,40,35,0.6653168797492981,2.0,-1,-1,-1
14913,6,346,321,36,32,0.6099147200584412,2.0,-1,-1,-1
16897,7,288,363,83,98,0.7100592255592346,7.0,-1,-1,-1
16913,7,306,385,56,65,0.6480200886726379,2.0,-1,-1,-1
22737,8,350,309,39,34,0.6518818140029907,2.0,-1,-1,-1
33905,9,356,352,56,50,0.6203492283821106,2.0,-1,-1,-1
35617,10,159,433,64,44,0.6820223927497864,2.0,-1,-1,-1
35713,10,324,331,43,30,0.5187859535217285,2.0,-1,-1,-1
36257,11,352,308,40,36,0.6001121997833252,2.0,-1,-1,-1
38001,12,260,398,97,75,0.6515282988548279,2.0,-1,-1,-1
38033,12,263,426,67,51,0.3891817033290863,2.0,-1,-1,-1
38161,13,284,397,84,66,0.7734286785125732,2.0,-1,-1,-1
38177,13,365,342,58,46,0.5964866280555725,2.0,-1,-1,-1
